Ten_Nuoc_Hoa,Gioi_Tinh,Hoan_Canh,Mua,Nhom_Huong,Luu_Huong
Afnan Supremacy Silver,Nam,Đa dụng,Xuân Hạ,Trái cây,Trung bình
Zara Vibrant Leather,Nam,Đi làm,Xuân Hạ,Gỗ,Trung bình
Bvlgari Man In Black,Nam,Hẹn hò,Thu Đông,Gia vị,Lâu
Issey Miyake L'Eau d'Issey Pour Homme,Nam,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Kenzo Flower,Nữ,Đi làm,Mọi mùa,Phấn,Lâu
Moschino Toy Boy,Nam,Hẹn hò,Mọi mùa,Hoa cỏ,Lâu
Salvatore Ferragamo F Black,Nam,Hẹn hò,Thu Đông,Phấn,Lâu
Ralph Lauren Polo Blue,Nam,Đi làm,Xuân Hạ,Tươi mát,Trung bình
Calvin Klein CK One,Unisex,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Davidoff Cool Water,Nam,Đa dụng,Xuân Hạ,Tươi mát,Trung bình
Nautica Voyage,Nam,Đi làm,Xuân Hạ,Tươi mát,Trung bình
Bentley For Men Intense,Nam,Hẹn hò,Thu Đông,Gia vị,Lâu
Lalique Encre Noire,Nam,Đi làm,Thu Đông,Gỗ,Lâu
Guerlain L'Homme Ideal EDP,Nam,Hẹn hò,Thu Đông,Ngọt ngào,Lâu
Prada Luna Rossa Carbon,Nam,Đa dụng,Mọi mùa,Tươi mát,Lâu
Diesel Only The Brave,Nam,Đa dụng,Mọi mùa,Gỗ,Trung bình
Carolina Herrera Bad Boy,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Lâu
Hugo Boss The Scent,Nam,Hẹn hò,Thu Đông,Gia vị,Trung bình
Joop! Homme,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Rất lâu
Guy Laroche Drakkar Noir,Nam,Đi làm,Mọi mùa,Gỗ,Trung bình
Halloween Man X,Nam,Tiệc tùng,Thu Đông,Ngọt ngào,Lâu
